"ID","sender","condition","age","gender","language","profession","subject","level_education","quality","comments"
"5282","Demographic control","B","26","male","german","employed_full","no_student","degree","serious",""
"5496","Demographic control","B","24","male","german","student","subject11","higher","serious",""
"5351","Demographic control","A","23","female","german","student","subject01","higher","serious",""
"5230","Demographic control","B","23","female","german","student","subject07","higher","serious",""
"5287","Demographic control","B","31","male","german","employed_full","no_student","degree","serious",""
"5381","Demographic control","B","30","male","german","employed_full","no_student","degree","serious",""
"5244","Demographic control","B","30","male","german","employed_self","no_student","degree","serious",""
"5290","Demographic control","A","21","male","german","student","other","higher","serious",""
"5214","Demographic control","B","24","male","german","student","other","higher","serious",""
"5226","Demographic control","A","25","male","german","employed_full","no_student","degree","serious",""
"5334","Demographic control","A","21","female","german","student","subject01","higher","serious",""
"5493","Demographic control","A","19","female","german","student","other","higher","serious",""
"5406","Demographic control","B","19","female","german","pupil","no_ans","higher","serious",""
"5399","Demographic control","B","28","female","german","employed_full","no_student","degree","serious",""
"5484","Demographic control","A","36","male","german","homemaker","no_student","higher","serious",""
"5296","Demographic control","B","20","female","german","student","subject01","higher","serious",""
"5469","Demographic control","B","35","male","german","student","subject05","higher","serious",""
"5363","Demographic control","B","22","male","german","student","subject04","higher","serious",""
"5474","Demographic control","B","30","male","german","student","other","degree","serious",""
"5316","Demographic control","A","29","male","german","employed_full","no_student","degree","serious",""
"5420","Demographic control","B","38","male","german","unemployed","no_student","secondary","serious",""
"5378","Demographic control","A","28","female","german","student","other","degree","serious",""
"5479","Demographic control","A","27","female","german","employed_full","no_student","degree","serious",""
"5389","Demographic control","A","30","female","german","employed_part","no_student","higher","serious",""
"5421","Demographic control","B","31","male","german","employed_full","no_student","degree","serious",""
"5461","Demographic control","A","38","male","german","employed_full","no_student","degree","serious",""
"5502","Demographic control","B","39","female","german","employed_full","no_student","vocation_train","serious",""
"5206","Demographic control","A","25","female","german","student","other","higher","serious",""
"5345","Demographic control","B","23","male","german","employed_full","subject06","degree","serious",""
"5472","Demographic control","B","23","male","german","student","other","higher","serious",""
"5444","Demographic control","A","28","male","german","employed_full","no_student","degree","serious",""
"5483","Demographic control","B","22","female","german","student","other","higher","serious",""
"5457","Demographic control","B","20","male","german","student","other","higher","serious",""
"5286","Demographic control","B","27","male","german","student","subject03","degree","serious","Sehr interessante und spannende Studie!"
"5227","Demographic control","A","36","male","german","employed_full","subject09","degree","serious",""
"5333","Demographic control","B","25","female","german","student","other","higher","serious",""
"5481","Demographic control","B","55","male","german","employed_full","no_student","degree","serious",""
"5319","Demographic control","A","20","female","german","student","other","higher","serious",""
"5485","Demographic control","B","22","male","german","student","subject04","higher","serious",""
"5323","Demographic control","A","23","female","german","student","subject05","higher","serious",""
"5431","Demographic control","A","27","male","german","employed_full","no_student","vocation_train","serious",""
"5433","Demographic control","B","24","female","german","student","subject07","degree","serious",""
"5408","Demographic control","A","25","female","fluent_german","student","other","degree","serious",""
"5413","Demographic control","B","28","female","german","student","subject10","higher","serious",""
"5380","Demographic control","A","24","male","german","student","subject01","vocation_train","serious",""
"5339","Demographic control","A","19","female","german","pupil","no_student","secondary","serious",""
"5446","Demographic control","A","32","female","german","employed_full","no_student","degree","serious",""
"5510","Demographic control","B","22","female","german","student","subject08","higher","serious",""
"5353","Demographic control","B","34","male","german","student","subject10","higher","serious",""
"5315","Demographic control","B","25","female","german","student","subject10","degree","serious",""
"5454","Demographic control","B","22","female","german","student","other","higher","serious",""
"5512","Demographic control","A","33","female","german","employed_part","subject03","higher","serious",""
"5343","Demographic control","A","26","female","german","employed_part","subject08","degree","serious",""
"5358","Demographic control","A","22","female","german","student","subject07","degree","serious",""
"5332","Demographic control","A","26","male","german","employed_full","no_student","degree","serious",""
"5270","Demographic control","B","23","male","german","student","subject01","higher","serious",""
"5310","Demographic control","A","28","male","german","student","subject03","degree","serious",""
"5342","Demographic control","B","36","male","german","employed_part","other","degree","serious",""
"5415","Demographic control","B","29","female","german","unemployed","no_student","higher","serious",""
"5341","Demographic control","A","22","female","german","student","other","higher","serious",""
"5466","Demographic control","B","23","male","german","employed_full","no_student","secondary","serious",""
"5489","Demographic control","B","25","male","german","student","subject03","degree","serious",""
"5212","Demographic control","B","27","male","german","unemployed","no_student","degree","serious",""
"5245","Demographic control","B","26","male","german","student","subject01","higher","serious",""
"5404","Demographic control","B","22","female","german","student","other","higher","serious",""
"5490","Demographic control","A","24","female","german","student","other","higher","serious",""
"5260","Demographic control","B","24","male","german","student","subject03","higher","serious",""
"5361","Demographic control","B","19","female","german","student","other","higher","serious",""
"5463","Demographic control","B","39","male","german","employed_full","no_student","vocation_train","serious",""
"5279","Demographic control","A","27","male","german","student","other","degree","serious",""
"5487","Demographic control","B","26","female","german","student","subject10","degree","serious",""
"5373","Demographic control","B","21","male","german","unemployed","no_student","higher","serious",""
"5405","Demographic control","B","23","female","german","student","other","degree","serious",""
"5416","Demographic control","B","21","female","german","student","subject10","higher","serious",""
"5437","Demographic control","A","24","female","german","student","other","degree","serious",""
"5317","Demographic control","B","24","male","german","student","subject07","degree","serious",""
"5419","Demographic control","A","31","female","german","employed_full","no_student","degree","serious",""
"5412","Demographic control","B","26","female","german","other","subject03","degree","serious",""
"5273","Demographic control","B","31","female","german","student","subject07","vocation_train","serious",""
"5336","Demographic control","B","24","male","german","student","other","higher","serious",""
"5418","Demographic control","A","19","female","german","student","other","degree","serious",""
"5275","Demographic control","B","58","male","german","employed_full","subject07","degree","serious",""
"5507","Demographic control","B","44","male","german","homemaker","no_student","higher","serious",""
"5372","Demographic control","A","32","male","german","employed_full","no_student","higher","serious",""
"5340","Demographic control","A","28","male","german","employed_full","no_student","degree","serious",""
"5428","Demographic control","B","29","male","german","employed_full","no_student","secondary","serious",""
"5387","Demographic control","A","33","female","german","employed_full","no_student","degree","serious",""
"5445","Demographic control","B","31","male","german","employed_full","no_student","degree","serious",""
"5314","Demographic control","B","23","female","german","student","subject04","higher","serious",""
"5491","Demographic control","B","42","female","german","employed_full","no_student","higher","serious",""
"5501","Demographic control","B","28","female","german","student","subject06","other","serious",""
"5362","Demographic control","B","27","male","german","unemployed","no_ans","secondary","serious",""
"5274","Demographic control","B","18","female","german","apprentice","other","higher","serious",""
"5266","Demographic control","A","23","male","german","student","subject02","higher","serious",""
"5302","Demographic control","B","29","male","german","student","subject03","higher","serious",""
"5251","Demographic control","B","20","female","german","pupil","no_ans","secondary","serious",""
"5329","Demographic control","A","27","female","german","employed_full","no_student","degree","serious",""
"5253","Demographic control","B","30","male","german","student","subject10","degree","serious",""
"5208","Demographic control","A","29","male","german","employed_part","no_student","degree","serious",""
"5255","Demographic control","B","22","female","german","student","other","higher","serious",""
"5305","Demographic control","B","32","male","german","employed_full","no_student","degree","serious","-"
"5259","Demographic control","A","35","female","german","employed_part","no_student","degree","serious",""
"5434","Demographic control","A","22","non-binary","german","unemployed","no_student","secondary","serious",""
"5400","Demographic control","A","22","male","german","student","subject09","higher","serious","Danke für diese Studie, es war sehr interessant!"
"5288","Demographic control","B","19","male","german","pupil","no_student","higher","serious",""
"5488","Demographic control","B","23","male","german","student","subject07","higher","serious",""
"5207","Demographic control","A","31","male","german","employed_part","no_student","secondary","serious",""
"5291","Demographic control","B","24","female","german","student","subject01","degree","serious",""
"5506","Demographic control","B","24","female","german","student","subject07","degree","serious",""
"5509","Demographic control","A","35","male","german","employed_full","no_student","degree","serious",""
"5349","Demographic control","A","20","female","german","student","other","higher","serious",""
"5243","Demographic control","B","27","male","german","student","subject03","degree","serious",""
"5386","Demographic control","A","29","male","german","student","other","degree","serious",""
"5348","Demographic control","A","26","male","german","student","other","degree","serious",""
"5374","Demographic control","B","46","male","german","employed_part","no_student","degree","serious",""
"5508","Demographic control","A","25","female","german","apprentice","no_student","secondary","serious",""
"5252","Demographic control","A","26","male","german","employed_full","no_student","degree","serious",""
"5268","Demographic control","B","31","female","german","employed_full","no_student","degree","serious",""
"5442","Demographic control","A","21","female","german","student","subject09","higher","serious",""
"5328","Demographic control","A","30","male","german","employed_full","no_student","degree","serious",""
"5377","Demographic control","A","50","female","german","employed_part","no_student","higher","serious",""
"5359","Demographic control","A","39","female","german","employed_full","no_student","vocation_train","serious",""
"5497","Demographic control","B","25","male","german","employed_full","no_student","degree","serious",""
"5452","Demographic control","A","21","female","german","student","subject08","higher","serious",""
"5225","Demographic control","A","24","female","german","student","other","higher","serious",""
"5436","Demographic control","A","25","female","german","student","subject07","higher","serious",""
"5440","Demographic control","B","32","female","german","employed_full","no_student","degree","serious",""
"5460","Demographic control","A","21","female","german","student","subject10","higher","serious",""
"5218","Demographic control","B","25","male","german","unemployed","no_student","secondary","serious",""
"5464","Demographic control","A","26","male","german","student","subject11","degree","serious",""
"5511","Demographic control","B","24","female","german","student","other","higher","serious",""
"5411","Demographic control","B","22","male","german","student","subject09","higher","serious",""
"5262","Demographic control","A","22","female","german","student","other","higher","serious",""
"5285","Demographic control","A","23","female","german","student","subject10","higher","serious",""
"5395","Demographic control","A","23","female","german","student","subject10","higher","serious",""
"5516","Demographic control","B","31","female","german","unemployed","no_student","degree","serious",""
"5258","Demographic control","A","27","no_ans","german","student","other","degree","serious",""
"5486","Demographic control","B","21","male","german","student","subject05","degree","serious",""
"5281","Demographic control","B","25","female","german","employed_part","no_student","degree","serious",""
"5312","Demographic control","A","35","female","german","employed_full","no_student","degree","serious",""
"5325","Demographic control","B","28","female","german","employed_part","no_student","vocation_train","serious",""
"5439","Demographic control","A","19","female","german","employed_part","subject07","higher","serious",""
"5300","Demographic control","A","23","female","german","student","other","vocation_train","serious",""
"5344","Demographic control","A","32","male","german","student","subject04","higher","serious",""
"5407","Demographic control","B","31","male","german","employed_full","no_student","degree","serious",""
"5350","Demographic control","A","27","male","german","employed_full","no_student","degree","serious",""
"5453","Demographic control","A","35","male","german","student","subject06","degree","serious",""
"5331","Demographic control","B","38","male","german","employed_full","no_student","higher","serious",""
"5238","Demographic control","B","25","female","german","student","subject10","degree","serious",""
"5475","Demographic control","B","22","female","german","pupil","no_student","secondary","serious",""
"5388","Demographic control","B","71","male","german","retired","no_student","secondary","serious",""
"5432","Demographic control","B","18","female","german","student","subject04","higher","serious",""
"5478","Demographic control","B","27","female","german","unemployed","no_student","primary","serious",""
"5210","Demographic control","A","29","male","german","employed_full","no_student","degree","serious",""
"5396","Demographic control","A","47","female","german","employed_self","no_student","higher","serious",""
"5313","Demographic control","B","21","male","german","student","subject01","higher","serious",""
"5427","Demographic control","B","29","female","german","student","subject10","degree","serious",""
"5269","Demographic control","B","18","female","german","pupil","no_student","no_level","serious",""
"5263","Demographic control","A","41","non-binary","german","retired","no_student","secondary","serious",""
"5448","Demographic control","A","25","female","german","pupil","no_student","secondary","serious",""
"5505","Demographic control","B","58","male","german","retired","no_ans","higher","serious",""
"5423","Demographic control","A","23","female","german","student","other","higher","serious",""
"5322","Demographic control","B","45","male","german","employed_full","no_student","higher","serious",""
"5306","Demographic control","B","21","male","german","student","other","higher","serious",""
"5271","Demographic control","A","28","male","german","student","subject03","degree","serious",""
"5468","Demographic control","B","42","male","german","employed_full","no_student","degree","serious",""
"5499","Demographic control","A","33","female","german","employed_full","no_student","degree","serious",""
"5379","Demographic control","B","22","male","german","student","other","higher","serious","Ich habe selten solch eine gut erklärte, strukturierte und aufgebaute Studie gesehen. Optisch ansprechend, mit Drag'n Drop und einer ausführlichen aber nicht zu langen Einleitung. Sehr cool!"
"5338","Demographic control","A","30","female","german","unemployed","no_student","degree","serious",""
"5278","Demographic control","A","30","female","german","student","subject07","degree","serious",""
"5308","Demographic control","B","20","male","german","apprentice","no_ans","higher","serious",""
"5366","Demographic control","B","20","female","german","student","subject07","higher","serious",""
"5476","Demographic control","A","22","female","german","student","other","higher","serious",""
"5337","Demographic control","B","33","male","german","employed_full","no_student","degree","serious",""
"5224","Demographic control","A","28","female","german","student","other","degree","serious",""
"5301","Demographic control","A","19","female","german","student","subject01","higher","serious",""
"5247","Demographic control","A","22","male","german","pupil","no_student","higher","serious",""
"5414","Demographic control","B","56","female","fluent_german","employed_full","no_student","vocation_train","serious",""
"5443","Demographic control","A","26","female","german","employed_full","no_student","degree","serious",""
"5392","Demographic control","B","33","male","german","employed_full","no_student","degree","serious",""
"5375","Demographic control","A","57","female","german","employed_full","no_student","vocation_train","serious","Es wäre interessant zu wissen, wie die Ergebnisse lauten. "
"5209","Demographic control","B","41","female","german","employed_part","no_student","degree","serious",""
"5283","Demographic control","A","25","male","german","employed_full","no_student","vocation_train","serious",""
"5500","Demographic control","B","52","male","german","employed_self","no_student","vocation_train","serious","Was waren die richtigen Antworten?"
"5264","Demographic control","A","24","male","german","student","subject01","degree","serious",""
"5321","Demographic control","B","27","male","german","student","subject08","degree","serious",""
"5402","Demographic control","B","55","male","german","homemaker","no_student","vocation_train","serious",""
"5295","Demographic control","B","39","female","german","unemployed","no_student","higher","serious",""
"5304","Demographic control","B","27","female","german","student","subject01","degree","serious",""
"5254","Demographic control","A","46","female","german","employed_self","no_student","other","serious","Gibt es irgendwo eine Liste mit Antworten, wo die dazugehörigen Statistiken einsichtig sind (also wieviel Prozent der Menschen einen Internetanschluss oder eine Waschmaschine haben etc.)? Fände ich spannend, mit meinen Schätzungen zu vergleichen. Kann auch googeln, aber erinnere mich nicht mehr an alle Fragen...."
"5383","Demographic control","A","33","male","german","employed_full","no_student","secondary","serious",""
"5482","Demographic control","A","21","male","german","unemployed","no_student","secondary","serious",""
"5376","Demographic control","A","24","female","german","student","subject10","degree","serious",""
"5451","Demographic control","A","31","male","german","employed_full","no_student","vocation_train","serious",""
"5435","Demographic control","A","35","male","german","employed_full","no_student","degree","serious","mich interessiert natürlich, welches Erkenntnisinteresse Sie mit dem Fragebogen erfüllen wollen, und hoffe eine Auflösung auf der nächsten Seite zu finden :)"
"5293","Demographic control","B","28","male","german","student","subject01","higher","serious",""
"5390","Demographic control","B","47","male","german","employed_full","no_student","other","serious","Die Auswertung würde mich interessieren!"
"5364","Demographic control","B","43","male","german","employed_full","no_student","degree","serious",""
"5213","Demographic control","B","34","male","german","employed_full","no_student","degree","serious",""
"5410","Demographic control","A","25","male","german","student","subject11","degree","serious","Hat Spaß gemacht."
"5360","Demographic control","B","23","female","german","student","other","higher","serious",""
"5277","Demographic control","A","34","male","german","employed_self","no_student","degree","serious","Würde gerne die Auswertung sehen mit Wahrscheinlichkeiten"
"5330","Demographic control","A","36","female","german","employed_full","no_student","degree","serious",""
"5370","Demographic control","B","19","female","german","student","subject07","higher","serious",""
"5284","Demographic control","A","29","male","german","employed_full","no_student","degree","serious",""
"5352","Demographic control","A","223","male","german","student","subject09","higher","serious",""
"5272","Demographic control","A","48","male","german","retired","no_student","vocation_train","serious",""
"5462","Demographic control","B","24","female","german","employed_self","no_student","vocation_train","serious",""
"5455","Demographic control","B","24","female","german","student","subject10","vocation_train","serious","Ich habe absolut keine Ahnung, wie viele Autos in Deutschland auf der Straße auch in Deutschland produziert wurden. Bei dieser Frage habe ich geraten. "
"5318","Demographic control","A","50","male","german","employed_full","no_student","vocation_train","serious",""
"5256","Demographic control","A","56","female","german","retired","no_student","vocation_train","serious",""
"5409","Demographic control","A","31","female","german","employed_part","no_student","degree","serious",""
"5371","Demographic control","A","26","male","german","employed_full","no_student","vocation_train","serious",""
"5398","Demographic control","A","26","male","german","no_ans","no_ans","secondary","serious",""
"5215","Demographic control","B","28","female","german","employed_full","no_student","degree","serious",""
"5246","Demographic control","B","57","male","german","employed_full","no_student","vocation_train","serious",""
"5458","Demographic control","B","57","male","german","employed_full","no_student","degree","serious",""
"5356","Demographic control","A","32","male","german","employed_full","no_student","vocation_train","serious","nein"
"5261","Demographic control","A","29","male","german","employed_full","no_student","higher","serious",""
"5265","Demographic control","B","41","male","german","employed_full","no_student","degree","serious",""
"5365","Demographic control","A","33","female","german","student","other","degree","serious","Zwischendurch (nach circa 5 Sortierseiten) wurde mir ein Fehler angezeigt und die nächste Seite des Sortierteils konnte nicht geladen werden. Ich habe die Zurück-Taste des Browsers gedrückt und bin wieder am Anfang der Studie gelandet. Also habe ich alles noch einmal komplett von vorn bearbeitet. Diesmal gab es keine Probleme."
"5357","Demographic control","A","22","male","german","student","subject01","degree","serious",""
"5456","Demographic control","B","61","female","german","employed_self","no_student","degree","serious",""
"5515","Demographic control","A","20","male","german","student","other","higher","serious","Dass man Felder gleichwertig platzieren kann ist mir erst nach ein paar Fragen richtig bewusst geworden, vlt die Formulierung etwas klarer machen.
Jedoch hätte das nichts an meinen Antworten geändert, um das zu betonen :)

Fand ich persönlich sehr interessant worum es gehen könnte"
"5495","Demographic control","A","20","female","german","student","subject04","higher","serious","Ich empfand die Umfrage als sehr interessant. Daher hätte ich eine Auflösung der richtigen Ergebnisse spannend gefunden."
"5242","Demographic control","B","22","female","german","student","subject10","higher","serious",""
"5241","Demographic control","A","58","female","german","employed_full","no_student","vocation_train","serious","keine"
"5369","Demographic control","B","27","male","german","employed_full","no_student","degree","serious",""
"5494","Demographic control","A","24","female","german","student","subject08","degree","serious",""
"5513","Demographic control","B","25","male","german","student","subject03","degree","serious",""
"5403","Demographic control","B","37","male","german","employed_self","subject01","degree","serious",""
"5401","Demographic control","A","25","male","german","employed_part","other","higher","serious",""
"5257","Demographic control","A","35","male","german","employed_full","other","degree","serious",""
"5701","Demographic control","B","37","female","german","employed_part","other","degree","serious",""
"5673","Demographic control","A","25","male","german","apprentice","no_student","vocation_train","serious",""
"5695","Demographic control","B","18","female","german","pupil","no_student","other","serious",""
"5674","Demographic control","A","24","female","german","student","subject10","degree","serious",""
"5671","Demographic control","B","27","male","german","employed_part","no_student","degree","serious",""
"5684","Demographic control","A","32","female","german","unemployed","no_student","higher","serious",""
"5682","Demographic control","A","25","male","german","employed_full","no_student","vocation_train","serious",""
"5685","Demographic control","A","28","female","german","student","subject03","secondary","serious",""
"5672","Demographic control","A","56","female","german","employed_self","no_student","higher","serious",""
"5680","Demographic control","B","29","female","german","employed_part","subject07","degree","serious","nein"
"5699","Demographic control","B","25","female","german","employed_full","subject01","degree","serious",""
"5702","Demographic control","A","24","female","german","student","other","degree","serious",""
"5676","Demographic control","A","32","female","german","student","subject06","higher","serious",""
"5690","Demographic control","A","29","male","german","student","other","degree","serious",""
"5692","Demographic control","A","27","male","german","student","subject06","higher","serious","Es gab ein paar Rechtschreibfehler ;)"
"5693","Demographic control","A","18","female","german","pupil","no_student","higher","serious",""
"5669","Demographic control","B","19","other","german","student","other","higher","serious",""
"5696","Demographic control","A","44","male","german","employed_self","no_student","vocation_train","serious",""
"5677","Demographic control","B","25","female","german","student","subject02","degree","serious",""
"5688","Demographic control","A","30","female","german","employed_part","subject01","degree","serious",""
"5681","Demographic control","B","22","female","german","student","subject10","higher","serious",""
"5687","Demographic control","A","48","male","german","employed_self","no_student","higher","serious","Sie erschweren den Menschen das Verständnis mit Gendervarianten wie ""Ich bin kein:e Student:in mehr"". Stattdessen schreiben Sie besser ""Ich studiere aktuell nicht an einer Fachhochschule oder Universitat"" oder ganz normal ""Ich bin kein Student mehr"". Oder sie passen den Fragebogen an, da Sie ohnehin das Geschlecht schon abgefragt haben... Je nach Zugehörigkeit könnte die Formulierung auch vom generischen Maskulinum abweichen."
"5678","Demographic control","B","23","male","german","student","other","degree","serious",""
"5670","Demographic control","A","28","female","german","student","subject10","degree","serious",""
"5683","Demographic control","B","31","male","german","other","subject01","degree","serious","Ich denke, dass ich in den ersten Teilen der Umfrage auf mein ""Bauchgefühl"" gehört habe und vermutlich Reihenfolgen gebildet habe, die nicht sinnvoll sind. Damit meine ich, dass ich erst irgendwann genauer nachgedachte habe, dass die Reigenfolge eigentlich immer im Sinne von ""1"", ""2"", ""Nicht 2"", ""Nicht 1"" sein müsste. Ich denke aber, dass ich anfangs auch mal ""1"", ""2"", ""Nicht 1"", ""Nicht 2"" genommen habe. (Ich bin mir aber nicht ganz sicher.)
Ich glaube der Grund war, dass ich zunächst immer in einer Reihenfolge von sehr wahrscheinlich bis sehr unwahrscheinlich gearbeitet habe und nicht daran gedachte habe, auch immer die entsprechenden Gegenwahrscheinlichkeiten im Kopf zu behalten.
Wie auch immer, sehr spannend, danke! :)"
"5691","Demographic control","B","23","male","german","employed_self","no_student","higher","serious",""
"5704","Demographic control","A","18","female","german","apprentice","other","higher","serious",""
"5675","Demographic control","A","21","male","german","employed_full","no_student","secondary","serious",""
